iter	RMSE
200	1.56558369
201	1.564805339
202	1.563960311
203	1.563331325
204	1.562525948
205	1.561847073
206	1.55600852
207	1.555338886
208	1.554618752
209	1.553865783
210	1.553241443
211	1.552568357
212	1.551744903
213	1.551272405
214	1.550707669
215	1.550131117
216	1.547900488
217	1.547306433
218	1.546706698
219	1.546148517
220	1.545423778
221	1.544868259
222	1.544207591
223	1.543572857
224	1.54307498
225	1.54245069
226	1.54182592
227	1.541228259
228	1.540682652
229	1.53979671
230	1.539173753
231	1.537737576
232	1.530254361
233	1.529663837
234	1.529169691
235	1.528393772
236	1.527804663
237	1.527221952
238	1.526654375
239	1.526244249
240	1.525570339
241	1.524973901
242	1.524617718
243	1.519038531
244	1.518579135
245	1.518000229
246	1.517525572
247	1.517048777
248	1.516681183
249	1.516324781
250	1.515954855
251	1.515550695
252	1.515097331
253	1.514521734
254	1.514026991
255	1.513525118
256	1.513082782
257	1.51261983
258	1.512145224
259	1.510950239
260	1.510514461
261	1.510114296
262	1.509663362
263	1.509206372
264	1.508816651
265	1.508404904
266	1.507924884
267	1.507487889
268	1.507138962
269	1.50681324
270	1.506349834
271	1.505221213
272	1.504693365
273	1.50432001
274	1.503979372
275	1.503269939
276	1.502971907
277	1.497455179
278	1.497053429
279	1.496004166
280	1.495728064
281	1.491382183
282	1.491072566
283	1.490745316
284	1.49044616
285	1.490104324
286	1.489856705
287	1.489359498
288	1.483080092
289	1.478381965
290	1.477956053
291	1.473533336
292	1.472884017
293	1.472203728
294	1.471885204
295	1.471541262
296	1.471135753
297	1.470169123
298	1.469771354
299	1.469468536
300	1.469167748
301	1.468867442
302	1.468550779
303	1.468128983
304	1.467842471
305	1.46753003306	1.169230241
307	1.166003324
308	1.161048345
309	1.160069487
310	1.159612929
311	1.158550592
312	1.157577605
31313	1.4580530631314	1.452117653
315	1.44683058
316	1.446160985
317	1.445952613
318	1.439570217
319	1.439226952
320	1.439007999
321	1.43881307
322	1.43857236
323	1.438239138
324	1.434438046
325	1.43408614
326	1.433841087
327	1.433670302
328	1.433405114
329	1.428624609
330	1.423871929
331	1.422399946
332	1.418395157
333	1.41815918
334	1.417923644
335	1.417570905
336	1.417342586
337	1.417033823
338	1.416811911
339	1.412568325
340	1.408776596
341	1.405117626
342	1.404864439
343	1.400347692
344	1.396370403
345	1.392965626
346	1.392200073
347	1.391943939
348	1.391686763
349	1.391509029
350	1.391291573
351	1.385890312
352	1.384930658
353	1.384371671
354	1.379580436
355	1.378565849
356	1.375013433
357	1.374809449
358	1.374668818
359	1.374469088
360	1.370401167
361	1.367716368
362	1.367471822
363	1.363767483
364	1.363461656
365	1.363194389
366	1.362914338
367	1.361959289
368	1.357719907
369	1.357457402
370	1.357135187
371	1.356947147
372	1.356695732
373	1.356271416
374	1.352500083
375	1.3522881
376	1.351869394
377	1.351619931
378	1.348452846
379	1.345376291
380	1.345199083
381	1.342014424
382	1.341763888
383	1.338184186
384	1.337928692
385	1.333520794
386	1.32925245
387	1.325592938
388	1.321987329
389	1.318946083
390	1.31535302
391	1.314490255
392	1.311219139
393	1.311050704
394	1.306777988
395	1.303463931
396	1.300066801
397	1.299737169
398	1.296899577
399	1.293576526
400	1.293348181
401	1.28907225
402	1.288921271
403	1.284100377
404	1.281229636
405	1.28109935
406	1.278444771
407	1.278294709
408	1.277772064
409	1.27745092
410	1.274615106
411	1.273843172
412	1.270998589
413	1.267556829
414	1.263650776
415	1.263440406
416	1.26034172
417	1.257581433
418	1.253812496
419	1.253584229
420	1.253359927
421	1.253181679
422	1.253032755
423	1.250917603
424	1.250591373
425	1.250459818
426	1.247262218
427	1.247073621
428	1.244415413
429	1.244052682
430	1.243841515
431	1.243715715
432	1.243445039
433	1.240298919
434	1.2374473
435	1.237301499
436	1.23712699
437	1.236942441
438	1.236829833
439	1.234257825
440	1.234120782
441	1.233975882
442	1.233853114
443	1.233319433
444	1.229355372
445	1.225370451
446	1.225295435
447	1.224264973
448	1.224135165
449	1.220713184
450	1.22058208
451	1.219092762
452	1.218053813
453	1.215530526
454	1.214520133
455	1.212190466
456	1.212104596
457	1.209450088
458	1.206521994
459	1.20458	0.95460	1.201459	0.9461	1.2010460	0.9541182043
461	0.9539802441
462	0.9538363233
463	0.9528828159
464	0.95256148
465	0.9522558268
466	0.9516306006
467	0.9513173204
468	0.949250634
469	0.94616422194470	0.94480645473471	0.9442037474	472	0.943609475	1473	0.94192476	1.474	0.9417477	1.1475	0.937478	1.17476	0.93479	1.174477	0.9480	1.1740478	0.481	1.16958479	0482	1.168829480	483	1.168469048484	1.1643598374485	1.163463892
486	1.163254953
487	1.162394366
488	1.161561932
489	1.160916171
490	1.160764709
491	1.158780053
492	1.156572581
493	1.156187533
494	1.155369054
495	1.154490217
496	1.15434206
497	1.153487306
498	1.149552881
499	1.149336312
500	1.1492146149501	1.1472328974502	1.147127601
503	1.145184761
504	1.145095693
505	1.142835703
506	1.142570931
507	1.142431771
508	1.141839304
509	1.141070078
510	1.140950231
511	1.138429205
512	1.137466061
513	1.137291908
514	1.134637076
515	1.131561416
516	1.131268108
517	1.131023676
518	1.130910997
519	1.130631237
520	1.130398889
521	1.130015663
522	1.12961926
523	1.127916793
524	1.125777915
525	1.123294441
526	1.121483271
527	1.119241786
528	1.118000888
529	1.117899797
530	1.117710932
531	1.11758475
532	1.113922233
533	1.113852523
534	1.1120667
535	1.111658138
536	1.109930678
537	1.109509826
538	1.109344365
539	1.107633867
540	1.105626283
541	1.10477858
542	1.104692408
543	1.10300391
544	1.102917345
545	1.102832537
546	1.102759728
547	1.102582234
548	1.102333038
549	1.101877776
550	1.10166082
551	1.101173688
552	1.101115604
553	1.100704623
554	1.099054818
555	1.098136672
556	1.09795327
557	1.094001094
558	1.09238573
559	1.091516329
560	1.090028757
561	1.089957813
562	1.089686627
563	1.088810215
564	1.088352558
565	1.085073957
566	1.08501596
567	1.082699229
568	1.08035723
569	1.07892822
570	1.076684878
571	1.073928465
572	1.071181454
573	1.071052888
574	1.070966377
575	1.069456411
576	1.068057566
577	1.065225802
578	1.065021745
579	1.064964505
580	1.064168044
581	1.063475424
582	1.062073975
583	1.061891535
584	1.061834828
585	1.060469446
586	1.060313915
587	1.058933582
588	1.058273716
589	1.058143849
590	1.05644332
591	1.055590707
592	1.054894471
593	1.052559399
594	1.051731061
595	1.04979786
596	1.048547752
597	1.047709195
598	1.046916196
599	1.045328261
600	1.04380714
601	1.041752525
602	1.040735283
603	1.04039841
604	1.037109758
605	1.03577327
606	1.035677681
607	1.033098978
608	1.030901279
192045598
599	0.8190949029
600	0.8166366696
601	0.8159136498
602	0.8147553377
603	0.8119340663
604	0.8103473573
605	0.8098434883
606	0.8078560822
607	0.8071183075
608	0.8063889771
