Model,Dependent variable,N,R_squared,Adj_R_squared,AIC,BIC
M1: EL only,spread_pct,153,0.5551015586845494,0.5521552113910695,700.4470768261458,706.5079526689307
M2: + trigger,spread_pct,153,0.5609767117704113,0.549111217493936,704.4131599537277,719.5653495606899
M3: + peril,spread_pct,153,0.6252682155133942,0.604449783041916,688.1868444597927,715.4607857523247
M4: + year FE,spread_pct,153,0.7638605680612369,0.7280818662523334,641.5332674807671,705.1724638300083
