model,term,coef,std_error,p_value,ci_low,ci_high
M1,Intercept,3.4484748215513292,0.2745687627770881,3.5209229518940963e-36,2.910329935228515,3.9866197078741434
M1,expected_loss_pct,1.321776835120757,0.0885113474811261,1.9976263206515479e-50,1.1482977818346398,1.4952558884068743
M2,Intercept,3.473727205126261,0.28455462546970817,2.8314033253207453e-34,2.9160103875713492,4.031444022681173
M2,C(trigger_type)[T.Industry loss index],-0.4442179020863217,0.5427324780523187,0.41308081923841133,-1.5079540123090418,0.6195182081363984
M2,C(trigger_type)[T.Parametric],-0.7908913571241851,0.5077877908516881,0.11934627370290242,-1.7861371389826513,0.20435442473428111
M2,C(trigger_type)[T.Parametric/Index],-2.367307896563483,1.1522111594294124,0.039919765867851516,-4.625600271630269,-0.10901552149669635
M2,expected_loss_pct,1.3644660532413757,0.12427813187372422,4.815265490322692e-28,1.120885390702957,1.6080467157797944
M3,Intercept,1.6773758882362892,0.3436077364790845,1.051969144359014e-06,1.0039170999279539,2.3508346765446246
M3,C(trigger_type)[T.Industry loss index],-0.5294612654238899,0.5668210370974701,0.35025801320420635,-1.6404100838145732,0.5814875529667933
M3,C(trigger_type)[T.Parametric],1.2044963396489459,0.5122512534248107,0.01870402092409368,0.2005023319008168,2.208490347397075
M3,C(trigger_type)[T.Parametric/Index],-5.46617466845575,2.81112502952444,0.05183766902302533,-10.975878482362749,0.04352914545124875
M3,C(broad_peril)[T.Flood],5.734477325950936,1.3724129053003464,2.9357901701582755e-05,3.044597459644277,8.424357192257595
M3,C(broad_peril)[T.Multi-peril],2.4818358423989224,0.5816644602416173,1.9831217219863753e-05,1.3417944492384222,3.6218772355594226
M3,C(broad_peril)[T.Other],5.186866390590565,1.3692219954852032,0.00015175176335191251,2.5032405925995027,7.870492188581628
M3,C(broad_peril)[T.Wind/Storm],2.102953210258188,0.3682078296254473,1.1210238780545227e-08,1.381279125366651,2.824627295149725
M3,expected_loss_pct,1.2738920464686059,0.1328244200181138,8.74071996439076e-22,1.0135609669656818,1.53422312597153
M4,Intercept,1.639846275215032,0.4535245420371515,0.00029944127913564874,0.7509545067171933,2.528738043712871
M4,C(trigger_type)[T.Industry loss index],-0.29854613069781377,0.461370715682474,0.5175768470031235,-1.202816116956932,0.6057238555613044
M4,C(trigger_type)[T.Parametric],-1.0347741153883765,0.9996361814227378,0.30059852774215323,-2.99402502862009,0.924476797843337
M4,C(trigger_type)[T.Parametric/Index],-5.496020894560578,5.1158727426333765,0.28268484631817536,-15.522947219612146,4.530905430490989
M4,C(broad_peril)[T.Flood],3.275256763748569,0.8656567076188902,0.00015460629481190785,1.5786007938400244,4.971912733657113
M4,C(broad_peril)[T.Multi-peril],1.5067192199794786,0.4935992694800242,0.0022693231857302725,0.5392824290033504,2.474156010955607
M4,C(broad_peril)[T.Other],3.60173783868853,8.535815645604522,0.6730572011822233,-13.128153405369842,20.3316290827469
M4,C(broad_peril)[T.Wind/Storm],1.738600084761779,0.3698967280501932,2.59867306822855e-06,1.0136158197841936,2.4635843497393646
M4,C(issue_year)[T.2015],0.29458189270350715,0.5986405263065818,0.6226594100487491,-0.8787319785434962,1.4678957639505104
M4,C(issue_year)[T.2016],-1.1858725833205317,0.5708963130368001,0.03778201116498163,-2.3048087957793646,-0.06693637086169901
M4,C(issue_year)[T.2017],-0.9561179782838772,0.6089704433509273,0.11640197681426359,-2.149678114901084,0.2374421583333296
M4,C(issue_year)[T.2018],-0.8765898381201698,0.5600848796563164,0.11755904795307263,-1.9743360305320004,0.2211563542916608
M4,C(issue_year)[T.2019],1.2709188675545382,1.764869881249598,0.47145084630883305,-2.188162537094156,4.730000272203232
M4,C(issue_year)[T.2020],1.445045400988325,0.8833599576570645,0.10187074423381787,-0.2863083014043488,3.176399103380999
M4,C(issue_year)[T.2021],0.4221070678956838,0.7012129490632464,0.547196092069336,-0.9522450577613986,1.796459193552766
M4,C(issue_year)[T.2022],1.365462541355411,8.382424773802603,0.8706004071495119,-15.063788118414001,17.79471320112482
M4,C(issue_year)[T.2023],4.2496429817412915,0.6947256260219782,9.534791911420324e-10,2.8880057756011714,5.611280187881412
M4,C(issue_year)[T.2024],3.077617493298193,1.678228960631236,0.06667650098537907,-0.2116508273511175,6.366885813947503
M4,C(issue_year)[T.2025],0.70178714094381,0.6090228990753288,0.24919103543441679,-0.4918758070040067,1.8954500888916268
M4,C(issue_year)[T.2026],-0.5331284016104548,0.432684700630809,0.21789655461892665,-1.3811748315083356,0.314918028287426
M4,expected_loss_pct,1.3630354780439682,0.12619198811472657,3.394241075505413e-27,1.1157037262015976,1.6103672298863387
