broad_peril,n,avg_spread_pct,median_spread_pct,avg_expected_loss_pct
Flood,3,14.333333333333334,13.75,5.433333333333334
Multi-peril,28,8.705357142857142,8.75,3.717142857142857
Other,3,7.583333333333333,8.0,2.1333333333333333
Wind/Storm,100,7.08425,6.25,2.7057830000000003
Earthquake,19,4.419736842105263,3.75,1.9536842105263157
